"table_name","column_name","description"
"FactSupportTicket","","One row per support ticket. Holds the daily performance measures supervisors monitor to staff shifts, coach agents, and report SLA compliance."
"FactSupportTicket","TicketKey","Surrogate primary key for the ticket record."
"FactSupportTicket","TicketID","Business identifier from the contact-center platform (for example, TCK-10231)."
"FactSupportTicket","DateKey","Date the ticket was created."
"FactSupportTicket","AgentKey","Agent who handled the ticket."
"FactSupportTicket","ClientKey","Client account the ticket belongs to."
"FactSupportTicket","ChannelKey","Channel the customer used to make contact."
"FactSupportTicket","CreatedDateTime","Timestamp the ticket was created."
"FactSupportTicket","ResolvedDateTime","Timestamp the ticket was resolved; null while still open."
"FactSupportTicket","ResolutionHours","Hours from creation to resolution. Measure behind average resolution time."
"FactSupportTicket","IsResolved","1 when resolved, 0 when still open. Measure behind backlog counts."
"FactSupportTicket","SLA_Met","1 when the ticket met the client's SLA target, 0 when breached. Measure behind SLA compliance."
"FactSupportTicket","CSAT_Score","Customer satisfaction rating, 1–5. Null when the customer did not respond."
"DimDate","","The calendar. Enables ""yesterday,"" ""this week,"" and month-to-date views so teams can track daily trends and spot recurring volume peaks."
"DimDate","DateKey","Surrogate key in YYYYMMDD form."
"DimDate","FullDate","The calendar date."
"DimDate","DayOfWeek","Day name, used to spot weekday volume patterns."
"DimDate","WeekOfYear","ISO week number, for week-over-week comparison."
"DimDate","MonthNumber","Month number, 1–12."
"DimDate","MonthName","Month name for reporting labels."
"DimDate","Quarter","Calendar quarter, 1–4."
"DimDate","Year","Calendar year."
"DimDate","IsWeekend","1 for Saturday and Sunday, supporting weekend staffing analysis."
"DimAgent","","The support agents, with their team and Team Lead. Lets performance roll up from individual to team, driving coaching and staffing decisions."
"DimAgent","AgentKey","Surrogate primary key for the agent."
"DimAgent","AgentID","Business identifier from the workforce system (for example, AG-233)."
"DimAgent","AgentName","Agent's full name."
"DimAgent","TeamName","Team the agent belongs to (for example, Team Aurora)."
"DimAgent","TeamLead","Team Lead responsible for coaching the agent."
"DimAgent","OperationsManager","Operations Manager the Team Lead reports to."
"DimAgent","HireDate","Date the agent joined, useful for tenure-based comparison."
"DimAgent","IsActive","1 for currently active agents, 0 for departed."
"DimClient","","The retail and telecom accounts serviced. Each carries its own SLA terms, making per-client compliance reporting possible."
"DimClient","ClientKey","Surrogate primary key for the client."
"DimClient","ClientName","Client account name (for example, Client A)."
"DimClient","Industry","Sector served, such as Retail or Telecom."
"DimClient","Region","Geography the client operates in."
"DimClient","SLA_TargetHours","Contracted resolution target in hours, the threshold behind SLA outcomes."
"DimClient","ContractStartDate","Date the service agreement began."
"DimClient","IsActive","1 for clients currently under contract."
"DimChannel","","The contact method — voice, email, or chat. Service expectations differ by channel, revealing where backlog and SLA breaches concentrate."
"DimChannel","ChannelKey","Surrogate primary key for the channel."
"DimChannel","ChannelName","Contact method: Voice, Email, or Chat."
"DimChannel","ChannelType","Real-time or Asynchronous, reflecting response expectations."
"DimChannel","TargetResponseMinutes","Expected first-response time for the channel."
"DimChannel","IsActive","1 for channels currently offered."
"CSATSurveyResponse","","Detailed customer satisfaction survey responses, one row per completed survey. Extends the headline CSAT score in FactSupportTicket with sub-ratings, written comments, and NPS — showing why a score was given, not just what it was."
"CSATSurveyResponse","SurveyResponseKey","Unique identifier for each survey response. One row per completed survey."
"CSATSurveyResponse","TicketKey","Links the survey back to the ticket it rates, so satisfaction can be analysed alongside the agent, client, channel, and resolution time on that ticket."
"CSATSurveyResponse","SurveyResponseDate","Date the customer submitted the survey. Lets supervisors track satisfaction trends by response date rather than ticket date, and see how current the feedback is."
"CSATSurveyResponse","AgentCourtesyRating","Customer's 1–5 rating of how polite and professional the agent was. A direct coaching signal that separates attitude issues from technical ones."
"CSATSurveyResponse","ResolutionQualityRating","Customer's 1–5 rating of whether the issue was actually fixed. Distinguishes ""the agent was pleasant but my problem remains"" from a genuine resolution."
"CSATSurveyResponse","WaitTimeRating","Customer's 1–5 rating of how long they waited. Separates dissatisfaction caused by staffing and queue depth from dissatisfaction caused by agent performance."
"CSATSurveyResponse","FirstContactResolution","Whether the customer felt their issue was solved on the first contact. A key operational driver of satisfaction and a strong predictor of repeat contacts."
"CSATSurveyResponse","NPS_Score","Likelihood to recommend, 0–10. Complements CSAT with a loyalty measure that clients often request in their service reviews."
"CSATSurveyResponse","CustomerComment","The customer's free-text feedback. Provides the qualitative context behind a low score and is the main source for identifying recurring complaint themes."
"CSATSurveyResponse","ResponseTimeHours","Hours between ticket closure and survey submission. Indicates how fresh the feedback is and helps flag response bias, since very fast replies often skew negative."
