TicketKey,TicketID,DateKey,AgentKey,ClientKey,ChannelKey,CreatedDateTime,ResolvedDateTime,ResolutionHours,IsResolved,SLA_Met,CSAT_Score
1,TCK-10001,20251009,48,2,1,2025-10-09 07:14:08,2025-10-09 14:28:32,7.24,1,1,
2,TCK-10002,20250406,2,7,1,2025-04-06 06:14:32,2025-04-06 11:25:56,5.19,1,1,4
3,TCK-10003,20251012,29,7,1,2025-10-12 00:48:51,2025-10-12 01:32:39,0.73,1,1,4
4,TCK-10004,20260125,6,6,1,2026-01-25 03:22:54,2026-01-26 06:06:42,26.73,1,1,5
5,TCK-10005,20260720,6,2,2,2026-07-20 09:53:40,2026-07-21 07:59:04,22.09,1,1,3
6,TCK-10006,20251024,15,1,3,2025-10-24 02:54:14,,,0,0,3
7,TCK-10007,20250616,24,8,3,2025-06-16 11:22:13,2025-06-17 00:26:25,13.07,1,1,
8,TCK-10008,20250908,47,3,3,2025-09-08 05:29:24,2025-09-08 06:36:36,1.12,1,1,4
9,TCK-10009,20250202,15,6,1,2025-02-02 10:25:17,2025-02-02 21:06:05,10.68,1,1,3
10,TCK-10010,20260210,32,4,3,2026-02-10 20:29:09,2026-02-11 07:09:57,10.68,1,1,3
11,TCK-10011,20260106,26,7,3,2026-01-06 07:08:32,2026-01-06 22:07:20,14.98,1,0,4
12,TCK-10012,20250307,28,3,3,2025-03-07 12:24:38,,,0,0,4
13,TCK-10013,20250428,47,1,3,2025-04-28 21:56:34,2025-04-29 17:43:22,19.78,1,1,3
14,TCK-10014,20250927,1,3,2,2025-09-27 16:48:11,2025-09-29 00:29:35,31.69,1,0,5
15,TCK-10015,20250615,24,4,1,2025-06-15 17:49:59,2025-06-16 22:57:11,29.12,1,1,
16,TCK-10016,20250301,16,6,2,2025-03-01 07:56:36,,,0,0,
17,TCK-10017,20260630,49,8,1,2026-06-30 04:08:42,2026-06-30 22:41:06,18.54,1,1,4
18,TCK-10018,20250725,35,7,1,2025-07-25 22:19:25,,,0,0,5
19,TCK-10019,20250504,29,8,3,2025-05-04 07:14:04,2025-05-04 18:21:16,11.12,1,1,4
20,TCK-10020,20250302,41,2,3,2025-03-02 07:04:57,2025-03-02 18:36:09,11.52,1,1,5
21,TCK-10021,20250516,35,8,1,2025-05-16 23:59:56,2025-05-17 03:13:08,3.22,1,1,4
22,TCK-10022,20260318,7,4,1,2026-03-18 11:27:26,2026-03-19 03:36:26,16.15,1,1,3
23,TCK-10023,20251214,26,2,1,2025-12-14 03:15:12,2025-12-14 09:50:36,6.59,1,1,4
24,TCK-10024,20260718,29,4,1,2026-07-18 03:03:41,,,0,0,5
25,TCK-10025,20260513,27,4,1,2026-05-13 15:13:55,2026-05-14 04:25:19,13.19,1,1,
26,TCK-10026,20250929,25,7,1,2025-09-29 14:18:27,2025-09-30 06:14:51,15.94,1,0,2
27,TCK-10027,20251031,13,8,1,2025-10-31 06:03:37,2025-11-01 10:13:13,28.16,1,1,
28,TCK-10028,20250611,34,8,3,2025-06-11 01:32:05,,,0,0,
29,TCK-10029,20260218,16,2,3,2026-02-18 03:56:36,2026-02-19 02:20:00,22.39,1,1,3
