SurveyResponseKey,TicketKey,SurveyResponseDate,AgentCourtesyRating,ResolutionQualityRating,WaitTimeRating,FirstContactResolution,NPS_Score,CustomerComment,ResponseTimeHours
1,2,2025-04-07,5,4,4,1,9,"Polite and knowledgeable support, thank you.",30.23
2,3,2025-10-12,4,4,4,1,3,Quick response and clear explanation.,13.53
3,4,2026-01-26,5,5,5,1,6,"Great service, very professional and helpful.",11.41
4,8,2025-09-08,5,4,4,0,3,"Polite and knowledgeable support, thank you.",4.44
5,9,2025-02-04,4,3,1,1,3,Issue was resolved but it took a while.,39.5
6,10,2026-02-12,2,3,3,1,4,Got what I needed eventually.,32.51
7,11,2026-01-07,5,4,3,1,8,"Great service, very professional and helpful.",21.44
8,13,2025-04-30,3,3,4,1,6,"Support was okay, nothing exceptional.",11.84
9,14,2025-09-29,5,4,5,1,8,Quick response and clear explanation.,22.87
10,19,2025-05-05,5,4,3,0,5,"Great service, very professional and helpful.",27.86
11,20,2025-03-04,4,5,4,1,9,"Polite and knowledgeable support, thank you.",34.07
12,21,2025-05-17,4,4,4,1,6,Agent was friendly and solved my issue quickly.,6.05
13,22,2026-03-20,3,2,3,0,6,The agent was fine but I had to wait.,20.48
14,29,2026-02-19,3,3,3,1,3,The agent was fine but I had to wait.,4.52
15,31,2026-08-01,5,5,5,1,6,Quick response and clear explanation.,16.75
16,34,2025-06-10,5,5,5,1,10,"Great service, very professional and helpful.",21.24
17,35,2025-04-08,5,3,4,1,7,"Great service, very professional and helpful.",26.29
18,36,2026-03-31,4,5,5,1,4,Quick response and clear explanation.,5.11
19,38,2025-09-15,3,2,2,0,2,Issue was resolved but it took a while.,11.29
20,39,2025-07-03,5,5,4,1,10,"Great service, very professional and helpful.",35.22
21,41,2025-01-26,5,5,4,1,8,Quick response and clear explanation.,4.23
22,43,2026-03-23,3,3,4,1,6,Got what I needed eventually.,39.0
23,44,2026-03-23,1,2,1,1,0,Waited far too long and the problem is still not fixed.,10.83
24,45,2025-03-16,5,4,5,1,6,Agent was friendly and solved my issue quickly.,37.68
25,46,2025-12-05,5,4,5,1,10,"Great service, very professional and helpful.",64.59
26,47,2025-11-07,5,4,5,1,10,"Polite and knowledgeable support, thank you.",30.58
